-5.04      -0.001
-4.94      -0.0
-4.84      0.0
-4.74      0.0
-4.64      0.001
-4.54      0.0
-4.44      0.0
-4.34      0.0
-4.24      0.0
-4.14      0.0
-4.04      0.0
-3.94      0.0
-3.84      0.0
-3.74      0.0
-3.64      0.0
-3.54      0.0
-3.44      0.0
-3.34      -0.001
-3.24      -0.001
-3.14      -0.001
-3.04      -0.001
-2.94      0.0
-2.84      0.001
-2.74      0.001
-2.64      0.001
-2.54      -0.001
-2.44      -0.002
-2.34      -0.002
-2.24      -0.002
-2.14      0.0
-2.04      0.002
-1.94      0.003
-1.84      0.003
-1.74      -0.001
-1.64      -0.003
-1.54      -0.005
-1.44      -0.005
-1.34      -0.003
-1.24      0.0
-1.14      0.006
-1.04      0.006
-0.94      -0.011
-0.84      -0.014
-0.74      -0.01
-0.64      0.018
-0.54      0.089
-0.44      0.15
-0.34      0.199
-0.24      0.239
-0.14      0.275
-0.04      0.296
0.06      0.307
0.16      0.29
0.26      0.227
0.36      0.172
0.46      0.125
0.56      0.089
0.66      0.069
0.76      0.052
0.86      0.037
0.96      0.025
1.06      0.019
1.16      0.013
1.26      0.006
1.36      -0.003
1.46      -0.017
1.56      -0.03
1.66      -0.04
1.76      -0.05
1.86      -0.062
1.96      -0.07
2.06      -0.075
2.16      -0.071
2.26      -0.053
2.36      -0.037
2.46      -0.024
2.56      -0.014
2.66      -0.009
2.76      -0.005
2.86      -0.002
2.96      -0.001
3.06      -0.004
3.16      -0.005
3.26      -0.003
3.36      -0.004
3.46      -0.012
3.56      -0.011
3.66      -0.007
3.76      0.014
3.86      0.066
3.96      0.107
4.06      0.139
4.16      0.159
4.26      0.165
4.36      0.164
4.46      0.16
4.56      0.14
4.66      0.094
4.76      0.055
4.86      0.022
4.96      0.001
5.06      -0.004
5.16      -0.007
5.26      -0.009
5.36      -0.011
5.46      -0.012
5.56      -0.012
5.66      -0.011
5.76      -0.009
5.86      -0.006
5.96      -0.002
6.06      0.001
6.16      0.006
6.26      0.013
6.36      0.019
6.46      0.024
6.56      0.027
6.66      0.03
6.76      0.031
6.86      0.031
6.96      0.028
7.06      0.018
7.16      0.01
7.26      0.003
7.36      0.0
7.46      0.001
7.56      0.002
7.66      0.003
7.76      0.002
7.86      -0.0
7.96      -0.002
8.06      -0.003
8.16      -0.003
8.26      -0.001
8.36      0.0
8.46      0.002
8.56      0.002
8.66      0.001
8.76      0.0
8.86      -0.0
8.96      0.0
9.06      0.001
9.16      0.002
9.26      0.003
9.36      0.002
9.46      -0.002
9.56      -0.003
9.66      -0.002
9.76      0.0
9.86      0.005
9.96      0.011
10.06      0.017
10.16      0.026
10.26      0.043
10.36      0.055
10.46      0.064
10.56      0.065
10.66      0.054
10.76      0.044
10.86      0.035
10.96      0.026
11.06      0.018
11.16      0.011
11.26      0.004
11.36      -0.001
11.46      -0.005
11.56      -0.009
11.66      -0.013
11.76      -0.02
11.86      -0.035
11.96      -0.046
12.06      -0.054
12.16      -0.055
12.26      -0.044
12.36      -0.035
12.46      -0.026
12.56      -0.019
12.66      -0.015
12.76      -0.01
12.86      -0.005
12.96      0.0
13.06      0.005
13.16      0.01
13.26      0.015
13.36      0.022
13.46      0.035
13.56      0.044
13.66      0.05
13.76      0.05
13.86      0.043
13.96      0.036
14.06      0.026
14.16      0.018
14.26      0.014
14.36      0.005
14.46      -0.006
14.56      -0.032
14.66      -0.087
14.76      -0.13
14.86      -0.163
14.96      -0.18
15.06      -0.176
15.16      -0.167
